ID,design,benefactor,benefactor_provenance,protege_pfg,consumer,year,lat,long,response,n,open,shrub,shrub_error_measure,shrub_error,n_species,n_species_shrub,n_species_open,MAP,MAT,aridity
32.2,observational,Senegalia nigrescens,native,herb,0,2017,-23.85,28.283333,richness,6,3.33,5.47,SE,0.41,24,15,9,,,
32.21,observational,Senegalia nigrescens,native,grass,0,2017,-23.85,28.283333,richness,6,5.93,5.2,SE,0.35,24,15,9,,,
32.22,observational,Vachellia nilotica,native,community,0,2017,-23.85,28.283333,richness,6,16.33,20.07,SE,0.95,30,20,16,,,
32.23,observational,Vachellia nilotica,native,community,0,2017,-23.85,28.283333,Shannon-Wiener,6,2.31,2.46,SE,0.04,30,20,16,,,
32.24,observational,Vachellia nilotica,native,community,0,2017,-23.85,28.283333,Simpsons,6,0.87,0.87,SE,0.01,30,20,16,,,
32.25,observational,Vachellia nilotica,native,community,0,2017,-23.85,28.283333,evenness,6,0.83,0.82,SE,0.01,30,20,16,,,
32.26,observational,Vachellia nilotica,native,perennial,0,2017,-23.85,28.283333,richness,6,6.73,7.53,SE,0.62,30,20,16,,,
32.27,observational,Vachellia nilotica,native,herb,0,2017,-23.85,28.283333,richness,6,6.4,6.8,SE,0.73,30,20,16,,,
32.28,observational,Vachellia nilotica,native,grass,0,2017,-23.85,28.283333,richness,6,4.33,6.4,SE,0.55,30,20,16,,,
32.29,observational,Peltophorum africanum,native,community,0,2017,-23.85,28.283333,richness,6,18.15,18.88,SE,0.87,30,20,16,,,
32.3,observational,Peltophorum africanum,native,community,0,2017,-23.85,28.283333,Shannon-Wiener,6,2.41,2.47,SE,0.04,30,20,16,,,
32.31,observational,Peltophorum africanum,native,community,0,2017,-23.85,28.283333,Simpsons,6,0.88,0.89,SE,0.01,30,20,16,,,
32.32,observational,Peltophorum africanum,native,community,0,2017,-23.85,28.283333,evenness,6,0.83,0.85,SE,0.01,30,20,16,,,
32.33,observational,Peltophorum africanum,native,perennial,0,2017,-23.85,28.283333,richness,6,7,7.29,SE,0.55,30,20,16,,,
32.34,observational,Peltophorum africanum,native,herb,0,2017,-23.85,28.283333,richness,6,5.92,5.76,SE,0.36,30,20,16,,,
32.35,observational,Peltophorum africanum,native,grass,0,2017,-23.85,28.283333,richness,6,5.54,6.35,SE,0.38,30,20,16,,,
32.36,observational,Senegalia nigrescens,native,community,0,2017,-23.85,28.283333,richness,6,17.4,18.88,SE,0.76,30,20,16,,,
32.37,observational,Senegalia nigrescens,native,community,0,2017,-23.85,28.283333,Shannon-Wiener,6,2.39,2.52,SE,0.04,30,20,16,,,
32.38,observational,Senegalia nigrescens,native,community,0,2017,-23.85,28.283333,Simpsons,6,0.88,0.9,SE,0.01,30,20,16,,,
32.39,observational,Senegalia nigrescens,native,community,0,2017,-23.85,28.283333,evenness,6,0.84,0.86,SE,0.01,30,20,16,,,
32.4,observational,Senegalia nigrescens,native,perennial,0,2017,-23.85,28.283333,richness,6,6.33,6.73,SE,0.64,30,20,16,,,
32.41,observational,Senegalia nigrescens,native,herb,0,2017,-23.85,28.283333,richness,6,5.93,6.67,SE,0.44,30,20,16,,,
32.42,observational,Senegalia nigrescens,native,grass,0,2017,-23.85,28.283333,richness,6,5.47,6.27,SE,0.34,30,20,16,,,
64.04,observational,Calligonum mongolicum,native,annual,0,2016,39.383333,100.133333,richness,25,NA,NA,NA,NA,5,3,2,,,
83.2,manipulative,Dasiphora fruticosa,native,perennial,1,2013,34.9167,102.8833,richness,15,NA,NA,NA,NA,21,20,19,,,
115.4,observational,Larrea tridentata,native,perennial,0,2013,34.8833,-115.7,richness,30,2.05,1.76,95conf,0.44,2,2,2,,,
273.9,manipulative,Baccharis linearis,native,annual,1,2005,-30.19889,-71.24444,richness,19,0.41,0.91,SE,0.09,18,18,10,,,
294.15,observational,Acacia tortilis,native,herb,0,2004,34.65,9.8,richness,24,4,15,NA,0.56,44,44,19,,,
294.16,observational,Acacia tortilis,native,herb,0,2004,34.65,9.8,richness,24,2,14,NA,1.11,44,44,19,,,
316.4,observational,Eremophila sturtii,native,perennial,1,2011,-33.71667,143.0333,diversity,3,NA,NA,NA,NA,50,34,34,,,
316.9,observational,Senna artemesioides,native,perennial,1,2011,-33.71667,143.0333,diversity,3,NA,NA,NA,NA,50,34,34,,,
325.1,observational,Retama sphaerocarpa,native,annual,0,2009,37.13333,-2.366667,richness,7,4,11.1,SE,1.2,76,16,5,,,
325.3,observational,Retama sphaerocarpa,native,annual,0,2009,37.13333,-2.366667,richness,7,NA,NA,NA,NA,76,16,5,,,
356.1,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.1,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.2,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.21,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.22,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.23,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.24,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.25,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.26,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.27,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.28,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.29,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.3,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.3,observational,"Eucalyptus populnea, Eucalyptus intertexta,Eucalyptus microtheca, Casuarina pauper, or Geijera parviflora depending on the specific plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.4,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.41,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.42,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.43,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.44,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.45,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.46,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.47,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.48,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.49,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.5,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.5,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.51,observational,Stipa tenacissima,native,grass,0,2010,40.0734008,-82.5250935,richness,30,NA,NA,NA,NA,2,2,2,,,
356.6,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.63,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.64,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.65,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.66,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.67,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.68,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.69,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.7,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.7,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.71,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.72,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.73,observational,Quercus coccifera,native,perennial,0,2010,39.8871292,-82.9123272,richness,30,NA,NA,NA,NA,2,2,2,,,
356.8,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
356.9,observational,"Eremophila mitchellii, Dodonaea viscosa, Senna artemisioides or juvenile Callitris glaucophylla depending on the particular plot",native,perennial,0,2010,39.8871292,-82.9123272,richness,80,NA,NA,NA,NA,2,2,2,,,
379.1,observational,Pinus pinaster,native,perennial,0,2010,41.3197241,-4.7617219,richness,120,0.64375,0.15,SD,0.04375,58,15,10,,,
379.2,observational,Pinus pinaster,native,perennial,0,2010,41.3197241,-4.7617219,richness,120,0.75625,0.35625,SD,0.06875,58,15,10,,,
379.3,observational,Pinus pinaster,native,perennial,0,2010,41.3197241,-4.7617219,richness,120,0.84375,0.56875,SD,0.05625,58,15,10,,,
379.4,observational,Pinus pinaster,native,perennial,0,2010,41.3197241,-4.7617219,richness,120,0.96875,0.675,SD,0.05625,58,15,10,,,
394.1,observational,Acacia raddiana,native,herb,0,2003,34.4719356,9.4783816,diversity,72,1.37931,2.551724,SE (Not defined in figure!),0.241379,5,5,5,,,
394.2,observational,Acacia raddiana,native,herb,0,2003,34.4719356,9.4783816,diversity,72,1.586207,2.931034,SE (Not defined in figure!),0.206897,5,5,5,,,
394.3,observational,Acacia raddiana,native,herb,0,2004,34.4719356,9.4783816,diversity,72,1.517241,2.62069,SE (Not defined in figure!),0.310345,5,5,5,,,
394.4,observational,Acacia raddiana,native,herb,0,2004,34.4719356,9.4783816,diversity,72,0,2.310345,SE (Not defined in figure!),0.172414,5,5,5,,,
394.5,observational,Acacia raddiana,native,herb,0,2004,34.4719356,9.4783816,diversity,72,0,2.310345,SE (Not defined in figure!),0.172414,5,5,5,,,
394.6,observational,Acacia raddiana,native,herb,0,2005,34.4719356,9.4783816,diversity,72,0.206897,1.793103,SE (Not defined in figure!),0.137931,5,5,5,,,
394.7,observational,Acacia raddiana,native,herb,0,2005,34.4719356,9.4783816,diversity,72,1.241379,1.344828,SE (Not defined in figure!),0.241379,5,5,5,,,
394.8,observational,Acacia raddiana,native,herb,0,2006,34.4719356,9.4783816,diversity,72,1.551724,0.482759,SE (Not defined in figure!),0,5,5,5,,,
394.9,observational,Acacia raddiana,native,herb,0,2006,34.4719356,9.4783816,diversity,72,1,3.37931,SE (Not defined in figure!),0.344828,5,5,5,,,
477.02,observational,Pyracantha angustifolia,exotic,perennial,0,2001,-31.1216,-64.32,richness,16,2.06,3.63,SE,0.3,19,19,10,,,
477.04,observational,Condalia montana,native,perennial,0,2001,-31.1216,-64.32,richness,16,2.06,2.38,SE,0.33,19,19,10,,,
477.06,observational,Pyracantha angustifolia,exotic,annual,0,2001,-31.1216,-64.32,richness,16,0.75,2.13,SE,0.29,19,19,10,,,
477.08,observational,Condalia montana,native,annual,0,2001,-31.1216,-64.32,richness,16,0.75,1.38,SE,0.27,19,19,10,,,
485.07,observational,Artemisia sieberi,native,grass,0,2001,30.86,34.766,richness,25,0.382,1.26,SE,0.076,4,4,2,,,
485.08,observational,Sarcopoterium spinosum,native,grass,0,2001,31.383,34.9,richness,25,8.893,10.725,SE,0.84,4,4,2,,,
514.1,observational,Noaea mucronata,native,herb,0,2001,31.283,34.616,richness,8,134.134,201.983,SE,6.785,30,22,13,,,
514.6,observational,Noaea mucronata,native,herb,0,1997,31.283,34.616,richness,8,155.01,227.557,SE,8.873,30,22,13,,,
514.7,observational,Noaea mucronata,native,herb,0,1998,31.283,34.616,richness,8,139.353,192.589,SE,6.785,30,22,13,,,
514.8,observational,Noaea mucronata,native,herb,0,1999,31.283,34.616,richness,8,48.017,94.468,SE,7.828,30,22,13,,,
514.9,observational,Noaea mucronata,native,herb,0,2000,31.283,34.616,richness,8,78.81,155.532,SE,5.741,30,22,13,,,
522.211,observational,Arthrocnemum macrostachyum,native,herb,0,2002,37.016,-2.416,richness,5,10.8,10,SE,0.5,35,35,35,,,
522.212,observational,Launaea arborescens,native,herb,0,2002,37.016,-2.416,richness,5,10.8,8,SE,1,35,35,35,,,
522.213,observational,Lycium intricatum,native,herb,0,2002,37.016,-2.416,richness,5,10.8,8,SE,0.5,35,35,35,,,
522.214,observational,Retama sphaerocarpa,native,herb,0,2002,37.016,-2.416,richness,5,10.8,9.2,SE,0.7,35,35,35,,,
522.215,observational,Salsola oppositifolia,native,herb,0,2002,37.016,-2.416,richness,5,10.8,8.8,SE,0.6,35,35,35,,,
522.216,observational,Thymus hyemalis,native,herb,0,2002,37.016,-2.416,richness,5,10.8,10,SE,1.3,35,35,35,,,
576.01,manipulative,Ambrosia dumosa,native,community,0,1994,36.07,-117.1,richness,20,5.15,5.15,SE,0.48,5,5,5,,,
600.1,observational,Berberis integerrima,native,herb,0,2017,36.374518,51.793245,richness,10,15,18,SE,2,30,18,15,,,
600.2,observational,Onobrychis cornuta,native,herb,0,2017,36.374518,51.793245,richness,10,15,15.5,SE,2,30,18,15,,,
600.3,observational,Juniperus sabina,native,herb,0,2017,36.374518,51.793245,richness,10,15,15.3,SE,2,30,18,15,,,
600.4,observational,Berberis integerrima,native,herb,0,2017,36.374518,51.793245,Shannon-Wiener,10,1.7,1.8,SE,0.1,30,18,15,,,
600.5,observational,Onobrychis cornuta,native,herb,0,2017,36.374518,51.793245,Shannon-Wiener,10,1.7,1.9,SE,0.1,30,18,15,,,
600.6,observational,Juniperus sabina,native,herb,0,2017,36.374518,51.793245,Shannon-Wiener,10,1.7,1.8,SE,0.1,30,18,15,,,
